"id","gender","age","citizenship","previous_offences","kpp","kpw","counts"
"OIO-3292241414J","M",20,"POLAND","No cirminal history","WA KPP Wyszków","WA KWP Radom",1
"OIO-3292241425N","M",30,"POLAND","No cirminal history","KA KMP Gliwice","KA KWP Katowice",1
"OIO-3292241439Q","M",23,"UKRAINE","No cirminal history","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-3292241457H","M",54,"UKRAINE","No cirminal history","WR KMP Legnica","WR KWP Wrocław",1
"OIO-3292241575W","M",36,"POLAND","No knowledge","GD KPP Bytów","GD KWP Gdańsk",1
"OIO-3292241656P","M",18,"POLAND","No cirminal history","GD KPP Kwidzyn","GD KWP Gdańsk",1
"OIO-3292241747E","M",25,"UKRAINE","No cirminal history","WA KPP Pruszków (KSP)","WA KSP Warszawa",1
"OIO-3292241821W","M",55,"POLAND","No cirminal history","WA KPP Wołomin (KSP)","WA KSP Warszawa",1
"OIO-3292242612M","K",49,"POLAND","No cirminal history","BK KPP Augustów","BK KWP Białystok",1
"OIO-3292243111P","M",22,"UKRAINE","No cirminal history","PO KPP Kępno","PO KWP Poznań",1
"OIO-3292243158W","M",57,"POLAND","No cirminal history","KK KPP Bochnia","KK KWP Kraków",1
"OIO-3292243181C","M",22,"MOLDOVA","No cirminal history","WA KPP Żyrardów","WA KWP Radom",1
"OIO-3292243339M","M",23,"UKRAINE","No knowledge","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-3292243341J","M",39,"GEORGIA","No knowledge","WA KRP Warszawa I (KSP)","WA KSP Warszawa",1
"OIO-3292243745E","M",59,"POLAND","No cirminal history","KK KPP Oświęcim","KK KWP Kraków",1
"OIO-3292243846K","K",61,"POLAND","No cirminal history","WR KPP Trzebnica","WR KWP Wrocław",1
"OIO-3292243923N","M",20,"POLAND","No cirminal history","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-3292243961H","M",40,"UKRAINE","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-3292243970A","K",38,"POLAND","No cirminal history","RZ KPP Stalowa Wola","RZ KWP Rzeszów",1
"OIO-3292243993A","M",42,"UKRAINE","No knowledge","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292244005M","M",40,"POLAND","No cirminal history","WA KPP Warszawa Zach. z/s Stare Babice (KSP)","WA KSP Warszawa",1
"OIO-3292244069H","M",27,"POLAND","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-3292244268X","M",40,"UKRAINE","No cirminal history","WA Komisariat Kolejowy Warszawa (KSP)","WA KSP Warszawa",1
"OIO-3292244268X","M",40,"UKRAINE","No knowledge","LU KPP Świdnik","LU KWP Lublin",1
"OIO-3292244315P","M",38,"POLAND","No knowledge","WA KPP Legionowo (KSP)","WA KSP Warszawa",1
"OIO-3292244322C","M",34,"UKRAINE","No cirminal history","KA KPP Będzin","KA KWP Katowice",1
"OIO-3292244339R","M",40,"BELARUS","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-3292244349N","M",25,"UKRAINE","No cirminal history","RZ KPP Lubaczów","RZ KWP Rzeszów",1
"OIO-3292244390P","M",39,"MOLDOVA","No knowledge","PO KMP Konin","PO KWP Poznań",1
"OIO-3292244664L","M",35,"POLAND","No cirminal history","BG KPP Radziejów","BG KWP Bydgoszcz",1
"OIO-3292244706N","M",21,"POLAND","No cirminal history","KI KMP Kielce","KI KWP Kielce",1
"OIO-3292244947N","M",32,"UKRAINE","No cirminal history","GD KMP Gdynia","GD KWP Gdańsk",1
"OIO-3292245093R","M",37,"UKRAINE","No cirminal history","GD KPP Kościerzyna","GD KWP Gdańsk",1
"OIO-3292245483T","M",34,"POLAND","No cirminal history","KK KPP Nowy Targ","KK KWP Kraków",1
"OIO-3292245651Q","M",47,"UKRAINE","No knowledge","GO KMP Gorzów Wlkp.","GO KWP Gorzów Wlkp.",1
"OIO-3292246371A","M",61,"UKRAINE","No cirminal history","RZ KPP Lubaczów","RZ KWP Rzeszów",1
"OIO-3292246440F","M",36,"POLAND","No knowledge","KK KPP Chrzanów","KK KWP Kraków",1
"OIO-3292246462P","M",35,"MOLDOVA","No cirminal history","WR KMP Legnica","WR KWP Wrocław",1
"OIO-3292246571D","K",36,"UKRAINE","No cirminal history","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292246642C","M",27,"MOLDOVA","No knowledge","GO KMP Gorzów Wlkp.","GO KWP Gorzów Wlkp.",2
"OIO-3292246949D","M",46,"POLAND","No knowledge","OL KMP Olsztyn","OL KWP Olsztyn",1
"OIO-3292246955Q","M",46,"UKRAINE","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-3292247104P","M",26,"UKRAINE","No cirminal history","KA KMP Gliwice","KA KWP Katowice",1
"OIO-3292247191Y","M",33,"UKRAINE","No cirminal history","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292247529H","M",34,"POLAND","No cirminal history","BG KPP Inowrocław","BG KWP Bydgoszcz",1
"OIO-3292247682D","M",24,"UKRAINE","No cirminal history","KA KMP Katowice","KA KWP Katowice",1
"OIO-3292247777P","M",39,"POLAND","No cirminal history","LD KPP Sieradz","LD KWP Łódź",1
"OIO-3292248030P","M",46,"UKRAINE","No cirminal history","LU KMP Chełm","LU KWP Lublin",1
"OIO-3292248108M","M",46,"MOLDOVA","No cirminal history","LU KMP Biała Podlaska","LU KWP Lublin",1
"OIO-3292248121C","M",33,"PHILIPINES","No cirminal history","WA KRP Warszawa II (KSP)","WA KSP Warszawa",1
"OIO-3292248151T","M",51,"POLAND","No cirminal history","LU KPP Biłgoraj","LU KWP Lublin",1
"OIO-3292248266A","M",20,"UKRAINE","No cirminal history","KK KPP Kraków Okolice","KK KWP Kraków",1
"OIO-3292248372C","M",21,"UKRAINE","No cirminal history","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292248960Y","M",60,"POLAND","No knowledge","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-3292249252A","M",25,"POLAND","No cirminal history","PO KPP Nowy Tomyśl","PO KWP Poznań",1
"OIO-3292249398P","M",29,"UKRAINE","No cirminal history","KA KPP Racibórz","KA KWP Katowice",1
"OIO-3292249544G","M",26,"POLAND","No knowledge","KA KMP Gliwice","KA KWP Katowice",1
"OIO-3292249759H","M",43,"UKRAINE","No knowledge","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292249767T","M",28,"POLAND","No cirminal history","PO KPP Wolsztyn","PO KWP Poznań",1
"OIO-3292249878K","M",40,"UKRAINE","No knowledge","WR KPP Lwówek Śląski","WR KWP Wrocław",1
"OIO-3292249878K","M",40,"UKRAINE","Simmilar offences","WR KPP Strzelin","WR KWP Wrocław",1
"OIO-3292250172K","M",60,"POLAND","No cirminal history","RZ KPP Nisko","RZ KWP Rzeszów",1
"OIO-3292250233A","M",44,"POLAND","No cirminal history","OL KPP Kętrzyn","OL KWP Olsztyn",1
"OIO-3292250366R","M",24,"POLAND","No cirminal history","RZ KPP Stalowa Wola","RZ KWP Rzeszów",1
"OIO-3292250519H","M",37,"UKRAINE","No cirminal history","KI KPP Końskie","KI KWP Kielce",1
"OIO-3292250568G","M",19,"POLAND","No knowledge","WR KPP Lwówek Śląski","WR KWP Wrocław",1
"OIO-3292250692N","M",40,"BELARUS","No knowledge","PO KPP Ostrzeszów","PO KWP Poznań",1
"OIO-3292250744Q","M",33,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-3292250853P","M",58,"UKRAINE","No cirminal history","WR KPP Bolesławiec","WR KWP Wrocław",1
"OIO-3292251110E","M",29,"POLAND","No cirminal history","KA KMP Gliwice","KA KWP Katowice",1
"OIO-3292251177T","K",19,"POLAND","No knowledge","WR KPP Złotoryja","WR KWP Wrocław",1
"OIO-3292251261D","K",71,"POLAND","No cirminal history","KK KPP Dąbrowa Tarn.","KK KWP Kraków",1
"OIO-3292251534W","M",18,"POLAND","No cirminal history","BK KMP Łomża","BK KWP Białystok",1
"OIO-3292251983M","K",43,"POLAND","No knowledge","LD KPP Zgierz","LD KWP Łódź",1
"OIO-3292252299K","M",34,"POLAND","No knowledge","BK KMP Białystok","BK KWP Białystok",1
"OIO-3292252538N","M",33,"UKRAINE","No knowledge","WA KPP Garwolin","WA KWP Radom",1
"OIO-3292252543M","M",52,"POLAND","No cirminal history","SC KPP Wałcz","SC KWP Szczecin",1
"OIO-3292336253T","M",54,"POLAND","No cirminal history","LU KMP Biała Podlaska","LU KWP Lublin",1
"OIO-3292336373J","M",34,"UKRAINE","No knowledge","OL KMP Elbląg","OL KWP Olsztyn",1
"OIO-3292336561L","M",22,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-3292336792A","M",37,"BELARUS","No cirminal history","OP KMP Opole","OP KWP Opole",1
"OIO-3292336857D","M",68,"POLAND","No knowledge","WR KPP Kłodzko","WR KWP Wrocław",1
"OIO-3292336889W","M",50,"BELARUS","Simmilar offences","LD KPP Pabianice","LD KWP Łódź",1
"OIO-3292336895R","M",25,"POLAND","No cirminal history","LD KMP Łódź","LD KWP Łódź",1
"OIO-3292337398L","M",21,"POLAND","No cirminal history","WR KPP Ząbkowice Śląskie","WR KWP Wrocław",1
"OIO-3292337406M","M",24,"UKRAINE","No knowledge","WR KPP Oleśnica","WR KWP Wrocław",1
"OIO-3292337472C","M",44,"POLAND","No cirminal history","GD KPP Człuchów","GD KWP Gdańsk",1
"OIO-3292337887X","M",37,"UKRAINE","No cirminal history","OP KPP Kędzierzyn-Koźle","OP KWP Opole",1
"OIO-3292337914N","M",19,"POLAND","No cirminal history","LD KMP Skierniewice","LD KWP Łódź",1
"OIO-3292337946W","M",22,"POLAND","No knowledge","KA KMP Tychy","KA KWP Katowice",1
"OIO-3292338115T","M",26,"POLAND","No cirminal history","PO KPP Kościan","PO KWP Poznań",1
"OIO-3292338201Y","M",31,"POLAND","Different offences","KK KPP Brzesko","KK KWP Kraków",1
"OIO-3292338233M","M",24,"UZBEKISTAN","No knowledge","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-3292338307H","M",49,"POLAND","No knowledge","KK KMP Kraków","KK KWP Kraków",1
"OIO-3292338328M","M",22,"POLAND","No cirminal history","GD KPP Starogard Gd.","GD KWP Gdańsk",1
"OIO-3292338509M","M",39,"POLAND","No knowledge","KK KPP Kraków Okolice","KK KWP Kraków",1
"OIO-3292338631Q","M",20,"POLAND","No cirminal history","WA KMP Płock","WA KWP Radom",1
"OIO-3292338799P","M",39,"POLAND","No cirminal history","BK KMP Łomża","BK KWP Białystok",1
"OIO-3292339118W","K",20,"POLAND","No cirminal history","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292339207C","M",21,"UKRAINE","No knowledge","WR KPP Środa Śląska","WR KWP Wrocław",1
"OIO-3292339322R","M",37,"USA","No knowledge","WA KRP Warszawa III (KSP)","WA KSP Warszawa",1
"OIO-3292339800P","M",25,"UKRAINE","No knowledge","SC KPP Kamień Pomorski","SC KWP Szczecin",1
"OIO-3292339891M","M",22,"MOLDOVA","No cirminal history","KA KPP Racibórz","KA KWP Katowice",1
"OIO-3292339977W","K",28,"POLAND","No cirminal history","KI KPP Starachowice","KI KWP Kielce",1
"OIO-3292340639K","M",31,"BELARUS","No cirminal history","PO KMP Poznań","PO KWP Poznań",1
"OIO-3292341075D","M",58,"LITHUANIA","No knowledge","GO KPP Sulęcin","GO KWP Gorzów Wlkp.",1
"OIO-3292341102K","M",19,"POLAND","No cirminal history","RZ KPP Dębica","RZ KWP Rzeszów",1
"OIO-3292341193C","M",37,"POLAND","No cirminal history","OL KPP Iława","OL KWP Olsztyn",1
"OIO-3292341419G","M",26,"UKRAINE","No knowledge","PO KPP Ostrzeszów","PO KWP Poznań",1
"OIO-3292341625A","M",43,"UKRAINE","No cirminal history","PO KPP Nowy Tomyśl","PO KWP Poznań",1
"OIO-3292341936G","M",38,"POLAND","No cirminal history","PO KPP Nowy Tomyśl","PO KWP Poznań",1
"OIO-3292342352W","M",34,"UKRAINE","No cirminal history","OP KPP Krapkowice","OP KWP Opole",1
"OIO-3292342902F","M",39,"GERMANY","No cirminal history","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-3292343037F","M",31,"UKRAINE","No cirminal history","KA KMP Katowice","KA KWP Katowice",1
"OIO-3292343225M","M",29,"POLAND","No cirminal history","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-3292343399Q","K",71,"POLAND","No cirminal history","WA KMP Płock","WA KWP Radom",1
"OIO-3292343525R","M",61,"POLAND","No knowledge","PO KPP Złotów","PO KWP Poznań",1
"OIO-3292343657L","M",32,"POLAND","No cirminal history","WR KPP Dzierżoniów","WR KWP Wrocław",1
"OIO-3292343659P","M",20,"POLAND","No cirminal history","GO KPP Krosno Odrzańskie","GO KWP Gorzów Wlkp.",1
"OIO-3292343739F","K",47,"POLAND","No cirminal history","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-3292343743X","M",52,"UKRAINE","No cirminal history","LD KPP Kutno","LD KWP Łódź",1
"OIO-3292343822A","K",35,"POLAND","No cirminal history","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-3292344101Y","M",38,"LATVIA","No cirminal history","BK KPP Augustów","BK KWP Białystok",1
"OIO-3292344137G","M",57,"POLAND","No knowledge","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-3292344168L","K",37,"POLAND","No knowledge","PO KPP Złotów","PO KWP Poznań",1
"OIO-3292344226U","M",25,"UKRAINE","No knowledge","WA KPP Mława","WA KWP Radom",1
"OIO-3292344421L","M",30,"UKRAINE","No cirminal history","KA KPP Kłobuck","KA KWP Katowice",1
"OIO-3292344446C","M",25,"UKRAINE","No knowledge","KA KMP Ruda Śląska","KA KWP Katowice",1
"OIO-3292344564W","M",35,"UKRAINE","No cirminal history","RZ KMP Rzeszów","RZ KWP Rzeszów",1
"OIO-3292344668U","M",24,"UKRAINE","No cirminal history","LU KMP Chełm","LU KWP Lublin",1
"OIO-3292344668U","M",24,"UKRAINE","No knowledge","LU KMP Lublin","LU KWP Lublin",1
"OIO-3292344803L","M",31,"POLAND","No knowledge","WA KMP Siedlce","WA KWP Radom",1
"OIO-3292344823R","K",31,"POLAND","No knowledge","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-3292344886K","M",27,"POLAND","No cirminal history","WA KPP Pruszków (KSP)","WA KSP Warszawa",1
"OIO-3292344900L","M",25,"UKRAINE","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-3292344923Q","M",24,"UKRAINE","No knowledge","LU KMP Biała Podlaska","LU KWP Lublin",1
"OIO-3292344934N","M",32,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-3292344956C","M",39,"GEORGIA","No cirminal history","KI KMP Kielce","KI KWP Kielce",1
"OIO-3292344960H","M",50,"POLAND","No knowledge","LU KPP Puławy","LU KWP Lublin",1
"OIO-3292344972A","M",32,"GEORGIA","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-3292344988L","M",28,"GEORGIA","No knowledge","GO KMP Gorzów Wlkp.","GO KWP Gorzów Wlkp.",1
"OIO-3292345014F","M",18,"UKRAINE","No knowledge","GO KMP Gorzów Wlkp.","GO KWP Gorzów Wlkp.",1
"OIO-3292345073H","M",43,"UKRAINE","No knowledge","WR KPP Polkowice","WR KWP Wrocław",1
"OIO-3292345112N","M",37,"UKRAINE","No knowledge","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-3292345232U","K",34,"UKRAINE","No cirminal history","LU KPP Hrubieszów","LU KWP Lublin",1
"OIO-3292345294D","M",26,"UKRAINE","No cirminal history","WR Komisariat Kolejowy Wrocław","WR KWP Wrocław",1
"OIO-3292345376T","M",50,"GEORGIA","No knowledge","WA KRP Warszawa II (KSP)","WA KSP Warszawa",1
"OIO-3292345387X","M",53,"GEORGIA","No cirminal history","LD KPP Radomsko","LD KWP Łódź",1
"OIO-3292345391Y","K",26,"UKRAINE","No cirminal history","PO KMP Leszno","PO KWP Poznań",1
"OIO-3292345404M","M",37,"UKRAINE","No cirminal history","PO KMP Kalisz","PO KWP Poznań",1
"OIO-3292345523C","M",18,"POLAND","No cirminal history","OP KMP Opole","OP KWP Opole",1
"OIO-3292345864P","M",31,"BELARUS","No cirminal history","PO KPP Gniezno","PO KWP Poznań",1
"OIO-3292346195D","M",41,"UKRAINE","No knowledge","WR KPP Zgorzelec","WR KWP Wrocław",1
"OIO-3292346301Y","M",36,"POLAND","No cirminal history","SC KPP Kamień Pomorski","SC KWP Szczecin",1
"OIO-3292346337C","M",34,"UKRAINE","No knowledge","WR KPP Świdnica","WR KWP Wrocław",1
"OIO-3292346495E","M",41,"GEORGIA","No cirminal history","KA KMP Ruda Śląska","KA KWP Katowice",1
"OIO-3292346629M","M",36,"UKRAINE","No cirminal history","WA KPP Wołomin (KSP)","WA KSP Warszawa",1
"OIO-3292346750W","M",48,"ROMANIA","No knowledge","GD KMP Słupsk","GD KWP Gdańsk",1
"OIO-3292346759K","M",26,"UKRAINE","No cirminal history","KK KPP Zakopane","KK KWP Kraków",1
"OIO-3292346787A","M",31,"POLAND","No knowledge","OP KMP Opole","OP KWP Opole",1
"OIO-3292346864G","M",55,"POLAND","No cirminal history","WR KPP Lubin","WR KWP Wrocław",1
"OIO-3292347067K","M",36,"POLAND","No cirminal history","PO KPP Września","PO KWP Poznań",1
"OIO-3292347108H","M",35,"BELARUS","No knowledge","KA KMP Żory","KA KWP Katowice",1
"OIO-3292347133M","M",31,"UKRAINE","No knowledge","GD KPP Kartuzy","GD KWP Gdańsk",1
"OIO-3292347345E","M",24,"GEORGIA","No knowledge","WA KRP Warszawa I (KSP)","WA KSP Warszawa",1
"OIO-3292347421G","M",30,"POLAND","No cirminal history","KK KPP Wieliczka","KK KWP Kraków",1
"OIO-3292347433R","M",44,"POLAND","No knowledge","PO KPP Gniezno","PO KWP Poznań",1
"OIO-3292347484D","M",27,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-3292347618X","K",42,"POLAND","No cirminal history","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-3292347680Q","M",35,"UKRAINE","No cirminal history","SC KPP Police","SC KWP Szczecin",1
"OIO-3292347771R","M",40,"UKRAINE","No cirminal history","PO KPP Szamotuły","PO KWP Poznań",1
"OIO-3292347822P","K",38,"UKRAINE","No cirminal history","PO KMP Poznań","PO KWP Poznań",1
"OIO-3292347854J","M",63,"UKRAINE","No cirminal history","RZ KPP Lubaczów","RZ KWP Rzeszów",1
"OIO-3292347896A","M",22,"UKRAINE","No knowledge","WA KRP Warszawa III (KSP)","WA KSP Warszawa",1
"OIO-3292347917L","M",26,"POLAND","No cirminal history","RZ KPP Lubaczów","RZ KWP Rzeszów",1
"OIO-3292348159W","M",43,"POLAND","No knowledge","PO KPP Gniezno","PO KWP Poznań",1
"OIO-3292348319K","M",32,"POLAND","No knowledge","WA KPP Żuromin","WA KWP Radom",1
"OIO-3292348876F","M",20,"POLAND","No knowledge","PO KPP Kościan","PO KWP Poznań",1
"OIO-3292349062M","M",39,"UKRAINE","No knowledge","WR KPP Kłodzko","WR KWP Wrocław",1
"OIO-3292349096J","M",62,"RUSSIA","No knowledge","KA KMP Częstochowa","KA KWP Katowice",1
"OIO-3292349260E","K",29,"UKRAINE","No cirminal history","KK KMP Kraków","KK KWP Kraków",1
"OIO-3292349482X","M",33,"POLAND","No knowledge","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-3292349548L","M",26,"UKRAINE","No knowledge","LU KPP Łuków","LU KWP Lublin",1
"OIO-3292349771T","K",29,"POLAND","No cirminal history","KA KMP Jastrzębie-Zdrój","KA KWP Katowice",1
"OIO-3292349773U","M",28,"UKRAINE","No cirminal history","PO KPP Gniezno","PO KWP Poznań",1
"OIO-3292349813U","M",23,"GEORGIA","No cirminal history","OL KMP Olsztyn","OL KWP Olsztyn",1
"OIO-3292350348M","M",45,"POLAND","No knowledge","SC KPP Pyrzyce","SC KWP Szczecin",1
"OIO-3292350364M","M",39,"POLAND","No cirminal history","SC KPP Wałcz","SC KWP Szczecin",1
"OIO-3292350375K","M",25,"SINGAPORE","No cirminal history","WR KPP Ząbkowice Śląskie","WR KWP Wrocław",1
"OIO-3292350385R","M",25,"POLAND","No cirminal history","OL KPP Ełk","OL KWP Olsztyn",1
"OIO-3292350712N","M",32,"POLAND","No knowledge","WA KMP Siedlce","WA KWP Radom",1
"OIO-3292350776U","M",36,"UKRAINE","No cirminal history","WA KPP Mława","WA KWP Radom",1
"OIO-3292350780H","M",30,"MOLDOVA","No knowledge","GD KPP Kartuzy","GD KWP Gdańsk",1
"OIO-3292350792Y","M",24,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-3292350875Q","M",27,"POLAND","No cirminal history","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-3292350905A","M",27,"UKRAINE","No knowledge","KK KPP Proszowice","KK KWP Kraków",1
"OIO-3292351273E","M",29,"POLAND","Different offences","KA KMP Żory","KA KWP Katowice",1
"OIO-3292351315J","M",44,"GEORGIA","No cirminal history","GO KPP Wschowa","GO KWP Gorzów Wlkp.",1
"OIO-3292351315J","M",44,"GEORGIA","Simmilar offences","WR KPP Polkowice","WR KWP Wrocław",1
"OIO-3292351315J","M",44,"POLAND","Simmilar offences","WR KPP Polkowice","WR KWP Wrocław",1
"OIO-3292351453W","M",42,"UKRAINE","No knowledge","PO KPP Grodzisk Wlkp.","PO KWP Poznań",1
"OIO-3292351513N","M",47,"GEORGIA","No knowledge","BG KMP Grudziądz","BG KWP Bydgoszcz",1
"OIO-3292351646L","M",44,"POLAND","No knowledge","BG KPP Lipno","BG KWP Bydgoszcz",1
"OIO-3292352104F","K",53,"POLAND","No knowledge","KA KMP Rybnik","KA KWP Katowice",1
"OIO-3292352603G","M",24,"UKRAINE","No cirminal history","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292353214M","K",30,"POLAND","No cirminal history","WA KPP Nowy Dwór Maz. (KSP)","WA KSP Warszawa",1
"OIO-3292353258M","M",38,"UKRAINE","No cirminal history","PO KPP Ostrów Wlkp.","PO KWP Poznań",1
"OIO-3292353312L","M",42,"UKRAINE","No knowledge","WA KPP Piaseczno (KSP)","WA KSP Warszawa",1
"OIO-3292353441F","M",31,"UKRAINE","No knowledge","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-3292353976G","M",29,"UKRAINE","No cirminal history","KA KMP Bielsko-Biała","KA KWP Katowice",1
"OIO-3292355032L","M",18,"POLAND","No knowledge","LU KPP Janów Lubelski","LU KWP Lublin",1
"OIO-3292355734W","M",58,"UKRAINE","No knowledge","GD KPP Kartuzy","GD KWP Gdańsk",1
"OIO-3292355768G","M",75,"POLAND","No cirminal history","KA KMP Zabrze","KA KWP Katowice",1
"OIO-3292355777R","M",19,"UKRAINE","No knowledge","WA KRP Warszawa I (KSP)","WA KSP Warszawa",1
"OIO-3292355805W","K",29,"GERMANY","No cirminal history","SC KMP Świnoujście","SC KWP Szczecin",1
"OIO-3292355915W","M",41,"UKRAINE","No cirminal history","KK KPP Miechów","KK KWP Kraków",1
"OIO-3292357140Q","M",25,"UKRAINE","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-3292357557E","M",59,"POLAND","No knowledge","KA KMP Rybnik","KA KWP Katowice",1
"OIO-3292357809U","K",41,"POLAND","No cirminal history","KI KPP Włoszczowa","KI KWP Kielce",1
"OIO-3292357881F","M",48,"LITHUANIA","No knowledge","PO KMP Konin","PO KWP Poznań",1
"OIO-3292358092N","M",45,"MOLDOVA","No cirminal history","WA KPP Wołomin (KSP)","WA KSP Warszawa",1
"OIO-3292358381K","M",28,"MOLDOVA","No knowledge","BG KPP Świecie nad Wisłą","BG KWP Bydgoszcz",1
"OIO-3292358387L","M",24,"POLAND","No cirminal history","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-3292436058J","M",30,"POLAND","No knowledge","KK KPP Kraków Okolice","KK KWP Kraków",1
"OIO-3292436158D","M",49,"UKRAINE","No cirminal history","WA KRP Warszawa II (KSP)","WA KSP Warszawa",1
"OIO-3292436185Q","M",27,"POLAND","No cirminal history","WA KRP Warszawa VI (KSP)","WA KSP Warszawa",1
"OIO-3292436198K","M",41,"POLAND","No knowledge","WA KRP Warszawa VI (KSP)","WA KSP Warszawa",1
"OIO-3292436283X","M",36,"UKRAINE","No cirminal history","RZ KPP Lubaczów","RZ KWP Rzeszów",1
"OIO-3292436640M","M",23,"UKRAINE","No knowledge","OP KPP Głubczyce","OP KWP Opole",1
"OIO-3292436649W","M",19,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-3292436661D","M",30,"UKRAINE","No cirminal history","WA KRP Warszawa III (KSP)","WA KSP Warszawa",1
"OIO-3292436711K","M",19,"UKRAINE","No cirminal history","PO KMP Leszno","PO KWP Poznań",1
"OIO-3292436785A","M",39,"LITHUANIA","No cirminal history","BK KPP Augustów","BK KWP Białystok",1
"OIO-3292436842K","M",40,"UKRAINE","No knowledge","WR KMP Legnica","WR KWP Wrocław",1
"OIO-3292436955T","K",34,"POLAND","No cirminal history","WA KPP Żuromin","WA KWP Radom",1
"OIO-3292437004E","M",43,"UKRAINE","No cirminal history","LD KPP Zgierz","LD KWP Łódź",1
"OIO-3292437089P","K",34,"UKRAINE","No knowledge","WA KRP Warszawa VII (KSP)","WA KSP Warszawa",1
"OIO-3292437105N","M",53,"POLAND","No cirminal history","OL KPP Szczytno","OL KWP Olsztyn",1
"OIO-3292437165C","M",48,"UKRAINE","No cirminal history","WA KPP Pruszków (KSP)","WA KSP Warszawa",1
"OIO-3292437257A","M",21,"POLAND","No knowledge","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-3292437262H","K",47,"POLAND","No knowledge","WA KRP Warszawa VI (KSP)","WA KSP Warszawa",1
"OIO-3292437286K","M",21,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-3292437292P","M",18,"POLAND","No knowledge","KK KMP Tarnów","KK KWP Kraków",1
"OIO-3292437312G","M",32,"UKRAINE","No knowledge","SC KPP Stargard","SC KWP Szczecin",1
"OIO-3292437611G","M",25,"POLAND","No cirminal history","OP KPP Kluczbork","OP KWP Opole",1
"OIO-3292437665G","M",34,"POLAND","No cirminal history","KA KPP Racibórz","KA KWP Katowice",1
"OIO-3292437815P","M",37,"POLAND","No cirminal history","WR KPP Kamienna Góra","WR KWP Wrocław",1
"OIO-3292438140K","K",39,"POLAND","No cirminal history","LU KPP Łuków","LU KWP Lublin",1
"OIO-3292438383A","M",66,"POLAND","No cirminal history","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-3292438386L","M",26,"GEORGIA","No cirminal history","PO KPP Nowy Tomyśl","PO KWP Poznań",1
"OIO-3292438386L","M",26,"GEORGIA","No knowledge","PO KMP Poznań","PO KWP Poznań",1
"OIO-3292438433L","M",50,"UKRAINE","No knowledge","LU KPP Tomaszów Lubelski","LU KWP Lublin",1
"OIO-3292438437L","M",43,"GEORGIA","No cirminal history","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-3292438437L","M",43,"GEORGIA","No knowledge","WR KMP Wrocław","WR KWP Wrocław",2
"OIO-3292438984H","M",74,"POLAND","No cirminal history","PO KPP Złotów","PO KWP Poznań",1
"OIO-3292438992Q","M",24,"POLAND","No cirminal history","KK KPP Nowy Targ","KK KWP Kraków",1
